iter	Passed	Remaining
0	200	378580
1	331	312986
2	415	261701
3	552	260642
4	628	237034
5	677	212706
6	909	244823
7	1005	23676388	1076	22510999	1214	228357110	1275	217951111	1382	216457112	1469	212281113	1557	208821114	1628	20371115	1813	212506116	1879	207220117	1977	205755118	2035	200509119	2080	194612220	2141	190672221	2186	185742222	2228	181013223	2274	176948224	2316	172912225	2356	169039226	2402	165883227	2447	162843
28	2492	160053
29	2538	157451
30	2579	154780
31	2629	152750
32	2690	151457
33	2729	149058
34	2778	147366
35	2820	145354
36	2861	143383
37	2906	141750
38	2947	139987
39	2987	138261
40	3024	136455
41	3064	134902442	3115	133873443	3158	132601444	3198	131206445	3239	129940446	3280	128698447	3319	127470448	3359	126272449	3401	125236550	3440	124115551	3480	123084552	3519	122056553	3557	121016554	3683	122962
55	3723	122019
56	3772	121391
57	3812	120497
58	3856	119752
59	3900	119038
60	3940	118201
61	4005	118156
62	4054	117633663	4194	119731664	4276	120138
65	4351	120332
66	4410	120070
67	4462	119642
68	4528	119577
69	4566	118788
70	4656	119363
71	4716	119148
72	4764	118666
73	4817	118280
74	4863	117765
75	4907	117208
76	4949	116610
77	5004	116325
78	5049	115820
79	5124	116007
80	5165	115432
81	5220	115175
82	5300	115460
83	5340	114880
84	5378	114271
85	5417	113714
86	5508	114224
87	5577	114266
88	5612	113642
89	5652	113110
90	5682	112408
91	5727	111992
92	5772	111610
93	5816	111195
94	5859	110770
95	5905	110423
96	5941	109890
97	5991	109614
98	6033	109206
99	6069	108702
100	6155	109093
101	6192	108608
102	6235	108236
103	6271	107763
104	6347	107966
105	6389	107588
106	6438	107342
107	6483	107037
108	6548	107064
109	6584	106603
110	6629	106308
111	6669	105940
112	6753	106257
113	6819	106294
114	6879	106250
115	6947	106314
116	7009	106280
117	7053	105978
118	7096	105665
119	7153	105566
120	7192	105211
121	7253	105179
122	7406	106456
123	7452	106196
124	7510	106106
125	7549	105755
126	7609	105693
127	7663	105558
128	7701	105197
129	7745	104918
130	7784	104581
131	7827	104302
132	7889	104290
133	7929	103974
134	7967	103639
135	8012	103393
136	8081	103466
137	8125	103219
138	8164	102906
139	8201	102576
140	8252	102426
141	8296	102183
142	8338	101933
143	8383	101704
144	8418	101366
145	8477	101322
146	8557	101530
147	8603	101320
148	8647	101098
149	8690	100866
150	8731	100618
151	8777	100421
152	8848	100508
153	8899	100382
154	8938	100110
155	8975	99818
156	9019	99611
157	9067	99457
158	9109	99228
159	9150	98998
160	9270	99614
161	9317	99448
162	9374	99384
163	9495	99991
164	9572	100138
165	9635	100130
166	9683	99970
167	9742	99918
168	9785	99704
169	9827	99484
170	9888	99462
171	9932	99265
172	9980	99107
173	10032	98996
174	10075	98795
175	10113	98547
176	10145	98249
177	10189	98058
178	10226	97811
179	10266	97584
180	10304	97356
181	10344	97140
182	10395	97027
183	10433	96795
184	10473	96585
185	10514	96387
186	10556	96194
187	10599	96012
188	10634	95769
189	10677	95595
190	10720	95420
191	10761	95229
192	10804	95055
193	10839	94820
194	10894	94751
195	10934	94558
196	10977	94393
197	11078	94729
198	11126	94599
199	11191	94625
200	11230	94423
201	11272	94253
202	11322	94146
203	11362	93966
204	11408	93828
205	11446	93628
206	11483	93425
207	11524	93246
208	11558	93022
209	11601	92866
210	11640	92683
211	11682	92524
212	11722	92349
213	11775	92276
214	11818	92130
215	11866	92019
216	11911	91891
217	11985	91981
218	12081	92240
219	12191	92600
220	12263	92671
221	12320	92622
222	12363	92475
223	12406	92326
224	12475	92371
225	12519	92233
226	12566	92115
227	12609	91970
